ch1,math,ch2,tch1,tch2,tmath,f
4.95,2.28,2.42,53.3,54.6,52.7,131000
4.95,2.93,1.80,49.6,50.7,49.3,181000
4.95,2.51,1.41,49.7,50.6,49.5,231000
4.95,2.59,0.795,51.1,51.9,51.1,351000
4.95,2.59,0.520,51,51.6,50.09,431000
4.95,1.24,4.37,48.4,50.4,44.2,41000
4.95,1.86,3.53,53.1,54.9,51.3,75000
4.95,0.652,4.77,49.3,51.3,38.6,20000
4.95,2.47,1.67,49.9,50.9,49.6,200000
4.95,0.183,4.88,-2.64,-1.04,-47.4,5000
4.95,2.10,2.98,49.8,51.3,48.8,10000
4.95,1.96,3.30,46.9,48.5,45.5,83000
4.95,1.53,4.04,54.3,56.1,51.4,55000